Company name,NSE Symbol,Market Cap,Categorization
VISHAL FABRICS LIMITED,,,Small Cap
AMAL LTD,,,Small Cap
SHISH INDUSTRIES LIMITED,,,Small Cap
LAKSHMI ELECTRICAL CONTROL SYSTEMS,,,Small Cap
KWALITY PHARMACEUTICALS LIMITED,,,Small Cap
ADC INDIA COMMUNICATIONS LIMITED,,,Small Cap
VIKRAM THERMO (INDIA) LTD.,,,Small Cap
"INDAG RUBBER LTD.,",,,Small Cap
TALBROS ENGINEERING LIMITED,,,Small Cap
ZENOTECH LABORATORIES LIMITED,,,Small Cap
MENON PISTONS LTD.,,,Small Cap
"MODERN INSULATORS LTD.,",,,Small Cap
EXHICON EVENTS MEDIA SOLUTIONS LIMITED,,,Small Cap
ALUFLUORIDE  LTD.,,,Small Cap
ALLIANCE INTEGRATED METALIKS LIMITED,,,Small Cap
"LOTUS CHOCOLATE CO. LTD.,",,,Small Cap
DHABRIYA POLYWOOD LIMITED,,,Small Cap
SWISS MILITARY CONSUMER GOODS LIMITED,,,Small Cap
AMIC FORGING LIMITED,,,Small Cap
SUPER SALES INDIA LTD.,,,Small Cap
MESON VALVES INDIA LIMITED,,,Small Cap
NATURAL CAPSULES LTD.,,,Small Cap
MANGALAM INDUSTRIAL FINANCE LIMITED,,,Small Cap
SHREEJI TRANSLOGISTICS LIMITED,,,Small Cap
HINDUSTHAN URBAN INFRASTRUCTURE LIMITED,,,Small Cap
VINTAGE COFFEE AND BEVERAGES LIMITED,,,Small Cap
CAPTAIN PIPES LIMITED,,,Small Cap
MAPRO INDUSTRIES LTD,,,Small Cap
GRAVISS HOSPITALITY LTD,,,Small Cap
MODI NATURALS LIMITED,,,Small Cap
MACFOS LIMITED,,,Small Cap
KINGS INFRA VENTURES LIMITED,,,Small Cap
INTELLIVATE CAPITAL VENTURES LIMITED,,,Small Cap
BHARAT PARENTERALS LIMITED,,,Small Cap
WATERBASE LIMITED,,,Small Cap
MIDLAND POLYMERS LTD.,,,Small Cap
PRIME FRESH LIMITED,,,Small Cap
RAGHUVANSH AGROFARMS LIMITED,,,Small Cap
"INDIAN TONERS & DEVELOPERS LTD.,",,,Small Cap
CONFIDENCE FUTURISTIC ENERGETECH LIMITED,,,Small Cap
"VADILAL ENTERPRISES LTD.,",,,Small Cap
SOFTSOL INDIA LIMITED.,,,Small Cap
SURAJ PRODUCTS LTD.,,,Small Cap
JENBURKT PHARMACEUTICALS LTD.,,,Small Cap
BIRLA PRECISION TECHNOLOGIES LTD,,,Small Cap
GROWINGTON VENTURES INDIA LIMITED,,,Small Cap
PANORAMA STUDIOS INTERNATIONAL LIMITED ,,,Small Cap
DAI-ICHI KARKARIA LTD.,,,Small Cap
JASCH INDUSTRIES LTD.,,,Small Cap
CONCORD CONTROL SYSTEMS LIMITED,,,Small Cap
UDAY JEWELLERY INDUSTRIES LIMITED.,,,Small Cap
RUDRA GLOBAL INFRA PRODUCTS LIMITED,,,Small Cap
LAST MILE ENTERPRISES LIMITED,,,Small Cap
SURAJ LTD.,,,Small Cap
INTERNATIONAL TRAVEL HOUSE LTD,,,Small Cap
JAY USHIN LTD.,,,Small Cap
OK PLAY INDIA LTD.,,,Small Cap
MODI’S NAVNIRMAN LIMITED,,,Small Cap
"GUJARAT SIDHEE CEMENT LIMITED.,",,,Small Cap
MULTIBASE INDIA LTD,,,Small Cap
CWD LIMITED,,,Small Cap
ADHBHUT INFRASTRUCTURE LTD.,,,Small Cap
"MILKFOOD LTD.,",,,Small Cap
TITAN BIO-TECH LTD.,,,Small Cap
M. K. EXIM (INDIA) LTD.,,,Small Cap
QUEST CAPITAL MARKETS LIMITED,,,Small Cap
"SARASWATI COMMERCIAL (INDIA) LTD.,",,,Small Cap
PRADEEP METALS LTD.,,,Small Cap
KALYANI CAST-TECH LIMITED,,,Small Cap
"COSMO FERRITES LTD.,",,,Small Cap
"CAPRIHANS INDIA LTD.,",,,Small Cap
RRIL LIMITED,,,Small Cap
"SHRI DINESH MILLS LTD.,",,,Small Cap
FRONTIER SPRINGS LTD.,,,Small Cap
PNGS GARGI FASHION JEWELLERY LIMITED,,,Small Cap
"AMBALAL SARABHAI ENTERPRISE LTD.,",,,Small Cap
BAMBINO AGRO INDUSTRIES LTD,,,Small Cap
GRETEX CORPORATE SERVICES LIMITED,,,Small Cap
LAKSHMI MILLS COMPANY LTD,,,Small Cap
NEWTIME INFRASTRUCTURE LIMITED,,,Small Cap
VIJAY SOLVEX LTD.,,,Small Cap
INVESTMENT & PRECISION CASTINGS LTD,,,Small Cap
INDIA GELATINE & CHEMICALS LTD.,,,Small Cap
VARIMAN GLOBAL ENTERPRISES LIMITED,,,Small Cap
CHANNEL NINE ENTERTAINMENT LIMITED,,,Small Cap
SPEL SEMICONDUCTOR LTD.,,,Small Cap
OVOBEL FOODS LTD.,,,Small Cap
PARTANI APPLIANCES LIMITED,,,Small Cap
SCAN STEELS LIMITED,,,Small Cap
ASHAPURI GOLD ORNAMENT LIMITED,,,Small Cap
NARMADA GELATINES LTD.,,,Small Cap
"SURYALATA SPINNING MILLS LTD.,",,,Small Cap
SUPREME HOLDINGS & HOSPITALITY (INDIA) LTD,,,Small Cap
PANASONIC ENERGY INDIA CO. LTD.,,,Small Cap
UNIVERSAL AUTOFOUNDRY LIMITED,,,Small Cap
INTERNATIONAL COMBUSTION (INDIA) LT,,,Small Cap
PANCHMAHAL STEEL LTD.,,,Small Cap
MARKOLINES PAVEMENT TECHNOLOGIES LIMITED,,,Small Cap
"KINETIC ENGINEERING LTD.,",,,Small Cap
ECO FRIENDLY FOOD PROCESSING PARK LIMITED,,,Small Cap
STANDARD CAPITAL MARKETS LTD.,,,Small Cap
HCP PLASTENE BULKPACK LIMITED,,,Small Cap
HAZOOR MULTI PROJECTS LIMITED,,,Small Cap
INDOKEM LTD,,,Small Cap
Garg Acrylics Limited,,,Small Cap
COMMERCIAL SYN BAGS LIMITED,,,Small Cap
DIKSAT TRANSWORLD LIMITED,,,Small Cap
P.G.FOILS LTD.,,,Small Cap
NITIN CASTINGS LIMITED,,,Small Cap
LEHAR FOOTWEARS LIMITED,,,Small Cap
DHP INDIA LTD.,,,Small Cap
THINKINK PICTUREZ LIMITED,,,Small Cap
"VISHVJYOTI TRADING LTD.,",,,Small Cap
AJANTA SOYA LIMITED,,,Small Cap
R&B DENIMS LIMITED,,,Small Cap
MANGALAM SEEDS LIMITED,,,Small Cap
PRIME INDUSTRIES LTD.,,,Small Cap
VIDEOCON INDUSTRIES LTD.,,,Small Cap
BHATIA COMMUNICATIONS & RETAIL (INDIA) LIMITED,,,Small Cap
"SAKTHI FINANCE LTD.,",,,Small Cap
IFL ENTERPRISES LIMITED,,,Small Cap
MERCANTILE VENTURES LIMITED,,,Small Cap
CG-VAK SOFTWARE & EXPORTS LTD.,,,Small Cap
ALPINE HOUSING DEVELOPMENT CORPORAT,,,Small Cap
VTM LTD,,,Small Cap
BATLIBOI LTD,,,Small Cap
PAUL MERCHANTS LTD.,,,Small Cap
SHRI KESHAV CEMENTS AND INFRA LIMITED,,,Small Cap
KAKA INDUSTRIES LIMITED,,,Small Cap
NILE LTD.,,,Small Cap
ABANS ENTERPRISES LIMITED,,,Small Cap
COMPETENT AUTOMOBILES CO. LTD.,,,Small Cap
"JOSTS ENGINEERING CO. LTD.,",,,Small Cap
"SWADESHI POLYTEX LTD.,",,,Small Cap
NETTLINX LTD.,,,Small Cap
BIMETAL BEARINGS LTD,,,Small Cap
SHRI GANG INDUSTRIES & ALLIED PRODUCTS LIMITED,,,Small Cap
KANORIA ENERGY AND INFRASTRUCTURE LIMITED,,,Small Cap
LANCOR HOLDINGS LTD.,,,Small Cap
"HINDUSTAN ORGANIC CHEMICALS LTD.,",,,Small Cap
MITSU CHEM PLAST LIMITED,,,Small Cap
"KAIRA CAN CO. LTD.,",,,Small Cap
PANCHSHEEL ORGANIC LTD.,,,Small Cap
"COCHIN MINERALS & RUTILE LTD.,",,,Small Cap
ASARFI HOSPITAL LIMITED,,,Small Cap
"CALCOM VISION LTD.,",,,Small Cap
SHRI BAJRANG ALLIANCE LIMITED,,,Small Cap
TRIDENT LIFELINE LIMITED,,,Small Cap
Sri Sarvaraya Sugars Limited,,,Small Cap
JCT LTD,,,Small Cap
"NEELAMALAI AGRO INDUSTRIES LTD.,",,,Small Cap
HEMANT SURGICAL INDUSTRIES LIMITED,,,Small Cap
SHALIBHADRA FINANCE LTD.,,,Small Cap
PANASONIC CARBON INDIA CO.LTD,,,Small Cap
COMFORT INTECH LTD,,,Small Cap
PRABHAT TECHNOLOGIES (INDIA) LIMITED,,,Small Cap
MAXIMUS INTERNATIONAL LIMITED,,,Small Cap
DEEP POLYMERS LIMITED,,,Small Cap
ALPHALOGIC TECHSYS LIMITED,,,Small Cap
SWASHTHIK PLASCON LIMITED,,,Small Cap
G M POLYPLAST LIMITED,,,Small Cap
SPRAYKING AGRO EQUIPMENT LIMITED,,,Small Cap
JK AGRI GENETICS LIMITED,,,Small Cap
KESAR INDIA LIMITED,,,Small Cap
MAGNA ELECTRO CASTINGS LTD.,,,Small Cap
"MAJESTIC AUTO LTD.,",,,Small Cap
"APOLLO FINVEST (INDIA) LTD.,",,,Small Cap
NAYSAA SECURITIES LIMITED,,,Small Cap
ABM KNOWLEDGEWARE LTD.,,,Small Cap
SHUKRA PHARMACEUTICALS LIMITED,,,Small Cap
VALIANT COMMUNICATIONS LTD.,,,Small Cap
SHRI VENKATESH REFINERIES LIMITED,,,Small Cap
INDRAYANI BIOTECH LTD.,,,Small Cap
GEE LTD.,,,Small Cap
"BASANT AGRO-TECH (INDIA) LTD.,",,,Small Cap
THE INDIAN WOOD PRODUCTS CO. LTD.,,,Small Cap
"INDIAN INFOTECH AND SOFTWARE LTD.,",,,Small Cap
RDB RASAYANS LIMITED,,,Small Cap
SHARDUL SECURITIES LTD.,,,Small Cap
SOUTH INDIA PAPER MILLS LTD.,,,Small Cap
PATELS AIRTEMP (I) LTD.,,,Small Cap
ORGANIC RECYCLING SYSTEMS LIMITED,,,Small Cap
RIDDHI CORPORATE SERVICES LIMITED,,,Small Cap
SUYOG GURBAXANI FUNICULAR ROPEWAYS LIMITED,,,Small Cap
MANGAL CREDIT AND FINCORP LIMITED,,,Small Cap
COSMIC CRF LIMITED,,,Small Cap
KELTECH ENERGIES LTD.,,,Small Cap
VISHAL BEARINGS LIMITED,,,Small Cap
SURAT TRADE AND MERCANTILE LIMITED,,,Small Cap
CAPITAL TRADE LINKS LIMITED,,,Small Cap
GENNEX LABORATORIES LTD,,,Small Cap
KIC METALIKS LTD.,,,Small Cap
INTEGRATED INDUSTRIES LIMITED,,,Small Cap
BELLA CASA FASHION & RETAIL LIMITED,,,Small Cap
ASHNISHA INDUSTRIES LIMITED,,,Small Cap
SMRUTHI ORGANICS LIMITED,,,Small Cap
"FLUIDOMAT LTD.,",,,Small Cap
AVEER FOODS LIMITED,,,Small Cap
KERALA AYURVEDA LIMITED,,,Small Cap
SUDARSHAN PHARMA INDUSTRIES LIMITED,,,Small Cap
ARYAMAN FINANCIAL SERVICES LTD.,,,Small Cap
PARVATI SWEETNERS AND POWER LTD.,,,Small Cap
The Byke Hospitality Ltd,,,Small Cap
BOMBAY OXYGEN INVESTMENTS LIMITED,,,Small Cap
SAB INDUSTRIES LIMITED,,,Small Cap
"IP RINGS LTD.,",,,Small Cap
MADHAV INFRA PROJECTS LIMITED,,,Small Cap
KANCHI KARPOORAM LTD.,,,Small Cap
SICAGEN INDIA LIMITED,,,Small Cap
VEER GLOBAL INFRACONSTRUCTION LIMITED,,,Small Cap
TYCHE INDUSTRIES LTD.,,,Small Cap
SYSCHEM (INDIA) LTD.,,,Small Cap
REFEX RENEWABLES & INFRASTRUCTURE LIMITED,,,Small Cap
"DEEPAK SPINNERS LTD.,",,,Small Cap
SAMRAT FORGINGS LIMITED,,,Small Cap
SILICON RENTAL SOLUTIONS LIMITED,,,Small Cap
DHATRE UDYOG LIMITED,,,Small Cap
SBEC SUGAR LTD.,,,Small Cap
PRIMA PLASTICS LTD.,,,Small Cap
CROPSTER AGRO LIMITED,,,Small Cap
BILCARE LTD.,,,Small Cap
JAYPEE INFRATECH LIMITED,,,Small Cap
"BEMCO HYDRAULICS LTD.,",,,Small Cap
PARSHVA ENTERPRISES LIMITED,,,Small Cap
KIMIA BIOSCIENCES LIMITED,,,Small Cap
TECHKNOWGREEN SOLUTIONS LIMITED,,,Small Cap
FIRST FINANCIAL SERVICES LTD,,,Small Cap
INDIAN ACRYLICS LTD,,,Small Cap
"POLSON LTD.,",,,Small Cap
MARUTI INFRASTRUCTURE LTD.,,,Small Cap
ASI INDUSTRIES LIMITED,,,Small Cap
VIPUL ORGANICS LIMITED,,,Small Cap
SEACOAST SHIPPING SERVICES LIMITED,,,Small Cap
VIBRANT GLOBAL CAPITAL LIMITED,,,Small Cap
RELIANCE NAVAL AND ENGINEERING LIMITED,,,Small Cap
SHRIRAM ASSET MANAGEMENT CO.LTD.,,,Small Cap
ULTRACAB (INDIA) LIMITED,,,Small Cap
RADHE DEVELOPERS (INDIA) LTD.,,,Small Cap
RUNGTA IRRIGATION LTD.,,,Small Cap
"TRITON VALVES LTD.,",,,Small Cap
"SCOOTERS INDIA LTD.,",,,Small Cap
RADIX INDUSTRIES (INDIA) LIMITED,,,Small Cap
EASTERN LOGICA INFOWAY LIMITED,,,Small Cap
ASIAN HOTELS (WEST) LTD,,,Small Cap
FRESHTROP FRUITS LTD.,,,Small Cap
LOYAL EQUIPMENTS LIMITED,,,Small Cap
KIFS FINANCIAL SERVICES LTD,,,Small Cap
GOLDEN LEGAND LEASING & FINANCE LTD,,,Small Cap
DUNCAN ENGINEERING LIMITED,,,Small Cap
CENLUB INDUSTRIES LTD.,,,Small Cap
GLOBUS CONSTRUCTORS & DEVELOPERS LIMITED,,,Small Cap
REGIS INDUSTRIES LIMITED,,,Small Cap
STEELMAN TELECOM LIMITED,,,Small Cap
SOM DATT FINANCE CORPORATION LTD.,,,Small Cap
B-RIGHT REALESTATE LIMITED,,,Small Cap
BHILWARA TECHNICAL TEXTILES LIMITED,,,Small Cap
TAMBOLI INDUSTRIES LIMITED,,,Small Cap
MANAS PROPERTIES LIMITED,,,Small Cap
GUJARAT TOOLROOM LTD.,,,Small Cap
RATNABHUMI DEVELOPERS LIMITED,,,Small Cap
SHREE RAM URBAN INFRASTRUCTURE LTD,,,Small Cap
SHREE AJIT PULP AND PAPER LTD.,,,Small Cap
DENIS CHEM LAB LIMITED,,,Small Cap
NATIONAL PLASTIC TECHNOLOGIES LTD,,,Small Cap
TECHNVISION VENTURES LIMITED,,,Small Cap
"KHODAY INDIA LTD.,",,,Small Cap
BHAGWATI AUTOCAST LIMITED,,,Small Cap
LKP FINANCE LIMITED,,,Small Cap
FACOR ALLOYS LIMITED,,,Small Cap
MAIDEN FORGINGS LIMITED,,,Small Cap
DHANLEELA INVESTMENTS & TRADING COMPANY LTD,,,Small Cap
REXNORD ELECTRONICS & CONTROLS LTD.,,,Small Cap
"VARUN SHIPPING CO. LTD.,",,,Small Cap
RESGEN LIMITED,,,Small Cap
DUROPLY INDUSTRIES LIMITED,,,Small Cap
HINDUSTAN TIN WORKS LTD.,,,Small Cap
SHARP INDIA LTD,,,Small Cap
INDIAN SUCROSE LTD.,,,Small Cap
SAMKRG PISTONS AND RINGS LTD.,,,Small Cap
MARUTI INTERIOR PRODUCTS LIMITED,,,Small Cap
KPT INDUSTRIES LIMITED,,,Small Cap
S V GLOBAL MILL LIMITED,,,Small Cap
CREDENT GLOBAL FINANCE LIMITED,,,Small Cap
CHL LIMITED,,,Small Cap
AVAILABLE FINANCE LTD.,,,Small Cap
RTS POWER CORPORATION LTD.,,,Small Cap
MAURIA UDYOG LIMITED,,,Small Cap
"SURAJ INDUSTRIES LIMITED.,",,,Small Cap
BRAHMAPUTRA INFRASTRUCTURE LIMITED,,,Small Cap
LA TIM METAL & INDUSTRIES LIMITED,,,Small Cap
SHAHLON SILK INDUSTRIES LIMITED,,,Small Cap
PREMCO GLOBAL LTD.,,,Small Cap
COROMANDEL ENGINEERING COMPANY LIMITED,,,Small Cap
CAPTAIN POLYPLAST LIMITED,,,Small Cap
DEEPAK CHEMTEX LIMITED,,,Small Cap
POOJA ENTERTAINMENT AND FILMS LTD.,,,Small Cap
HINDUSTAN ADHESIVES LTD.,,,Small Cap
"DELTON CABLES LTD.,",,,Small Cap
Frick India Limited,,,Small Cap
MIDEAST INTEGRATED STEELS LIMITED,,,Small Cap
LIKHAMI CONSULTING LIMITED,,,Small Cap
SHARAT INDUSTRIES LTD.,,,Small Cap
NAVKAR URBANSTRUCTURE LIMITED,,,Small Cap
INNOKAIZ INDIA LIMITED,,,Small Cap
BANSAL ROOFING PRODUCTS LIMITED,,,Small Cap
AARNAV FASHIONS LIMITED,,,Small Cap
SHANTI SPINTEX LIMITED,,,Small Cap
Partap Industries Limited,,,Small Cap
ALPHALOGIC INDUSTRIES LIMITED,,,Small Cap
LYKIS LIMITED,,,Small Cap
WINSOME TEXTILE INDUSTRIES LTD,,,Small Cap
SCOOBEE DAY GARMENTS (INDIA) LIMITED,,,Small Cap
AI CHAMPDANY INDUSTRIES LIMITED,,,Small Cap
AASHKA HOSPITALS LIMITED,,,Small Cap
HIMALAYA FOOD INTERNATIONAL LIMITED,,,Small Cap
SHERVANI INDUSTRIAL SYNDICATE LTD,,,Small Cap
"FLEX FOODS LTD.,",,,Small Cap
CASPIAN CORPORATE SERVICES LIMITED,,,Small Cap
SONAL MERCANTILE LIMITED,,,Small Cap
ACCEL LIMITED,,,Small Cap
"HIMACHAL FIBRES LTD.,",,,Small Cap
DOLFIN RUBBERS LIMITED,,,Small Cap
THAKKER'S DEVELOPERS LTD.,,,Small Cap
INDSIL HYDRO POWER AND MANGANESE LIMITED,,,Small Cap
"SANCO TRANS LTD.,",,,Small Cap
SNL BEARINGS LTD.,,,Small Cap
G G ENGINEERING LIMITED,,,Small Cap
NAGPUR POWER & INDUSTRIES LTD,,,Small Cap
T & I GLOBAL LTD.,,,Small Cap
BCPL RAILWAY INFRASTRUCTURE LIMITED,,,Small Cap
SAMRAT PHARMACHEM LTD.,,,Small Cap
TULSYAN NEC LTD,,,Small Cap
METROGLOBAL LIMITED,,,Small Cap
GUJARAT NATURAL RESOURCES LIMITED,,,Small Cap
SIYARAM RECYCLING INDUSTRIES LIMITED,,,Small Cap
EVEXIA LIFECARE LIMITED,,,Small Cap
STAR DELTA TRANSFORMERS LIMITED,,,Small Cap
INDOSOLAR LIMITED,,,Small Cap
SAMOR REALITY LIMITED,,,Small Cap
KENVI JEWELS LIMITED,,,Small Cap
VEDAVAAG SYSTEMS LIMITED,,,Small Cap
NATH INDUSTRIES LIMITED,,,Small Cap
CAPTAIN TECHNOCAST LIMITED,,,Small Cap
AMBA ENTERPRISES LTD.,,,Small Cap
ISHAN DYES & CHEMICALS LTD.,,,Small Cap
TRESCON LIMITED,,,Small Cap
GTV ENGINEERING LIMITED,,,Small Cap
FORTIS MALAR HOSPITALS LIMITED,,,Small Cap
"AIMCO PESTICIDES LTD.,",,,Small Cap
OXYGENTA PHARMACEUTICAL LIMITED,,,Small Cap
"BALLARPUR INDUSTRIES LTD.,",,,Small Cap
AMARJOTHI SPINNING MILLS LTD,,,Small Cap
NARBADA GEMS AND JEWELLERY LIMITED,,,Small Cap
PRESSURE SENSITIVE SYSTEMS (INDIA),,,Small Cap
SAYAJI INDUSTRIES LIMITED,,,Small Cap
ARCHIT ORGANOSYS LIMITED,,,Small Cap
RISHIROOP LIMITED,,,Small Cap
ODYSSEY TECHNOLOGIES LTD.,,,Small Cap
CIAN AGRO INDUSTRIES & INFRASTRUCTURE LIMITED,,,Small Cap
AMBAR PROTEIN INDUSTRIES LIMITED,,,Small Cap
SAVERA INDUSTRIES LTD.,,,Small Cap
CORAL LABORATORIES LTD.,,,Small Cap
JAMES WARREN TEA LIMITED,,,Small Cap
SUNRISE EFFICIENT MARKETING LIMITED,,,Small Cap
GENPHARMASEC LIMITED,,,Small Cap
INDIA NIVESH LIMITED,,,Small Cap
EMPOWER INDIA LIMITED,,,Small Cap
"APM INDUSTRIES LTD.,",,,Small Cap
SHRADHA AI TECHNOLOGIES LIMITED,,,Small Cap
GUJARAT CONTAINERS LTD.,,,Small Cap
POCL ENTERPRISES LTD,,,Small Cap
TCC CONCEPT LIMITED,,,Small Cap
JHAVERI CREDITS & CAPITAL LTD.,,,Small Cap
SANJIVANI PARANTERAL LTD.,,,Small Cap
NATIONAL FITTINGS LIMITED,,,Small Cap
LAHOTI OVERSEAS LTD.,,,Small Cap
"TCI INDUSTRIES LTD.,",,,Small Cap
BDH INDUSTRIES LTD.,,,Small Cap
LKP SECURITIES LIMITED,,,Small Cap
KG PETROCHEM LTD.,,,Small Cap
AKAR AUTO INDUSTRIES LIMITED,,,Small Cap
MACHINO PLASTICS LTD,,,Small Cap
VJTF EDUSERVICES LIMITED,,,Small Cap
WAA SOLAR LIMITED,,,Small Cap
KEERTHI INDUSTRIES LTD,,,Small Cap
BSEL ALGO LIMITED,,,Small Cap
BHARAT IMMUNOLOGICALS & BIOLOGICALS,,,Small Cap
RSD FINANCE LIMITED,,,Small Cap
VIRAT INDUSTRIES LTD.,,,Small Cap
KHEMANI DISTRIBUTORS & MARKETING LIMITED,,,Small Cap
"UNITED VAN DER HORST LTD.,",,,Small Cap
S & T CORPORATION LIMITED,,,Small Cap
CRAVATEX LTD.,,,Small Cap
SAL AUTOMOTIVE LIMITED,,,Small Cap
KKALPANA INDUSTRIES (INDIA) LTD,,,Small Cap
ACTIVE CLOTHING CO  LIMITED,,,Small Cap
PMC FINCORP LIMITED,,,Small Cap
ELNET TECHNOLOGIES LTD.,,,Small Cap
RESONANCE SPECIALTIES LIMITED,,,Small Cap
NTC INDUSTRIES LIMITED,,,Small Cap
COMRADE APPLIANCES LIMITED,,,Small Cap
PHOENIX TOWNSHIP LIMITED,,,Small Cap
KBS INDIA LIMITED,,,Small Cap
BRADY & MORRIS ENGINEERING CO. LTD.,,,Small Cap
SUMUKA AGRO INDUSTRIES LIMITED,,,Small Cap
KAISER CORPORATION LIMITED,,,Small Cap
HIM TEKNOFORGE LIMITED,,,Small Cap
DILIGENT INDUSTRIES LIMITED,,,Small Cap
JAYANT INFRATECH LIMITED,,,Small Cap
SHRI KRISHNA DEVCON LIMITED,,,Small Cap
RDB REALTY & INFRASTRUCTURE LIMITED,,,Small Cap
KOTHARI FERMANATATION & BIOCHEM LTD,,,Small Cap
PACIFIC INDUSTRIES LTD.,,,Small Cap
WEP SOLUTIONS LTD,,,Small Cap
VIRYA RESOURCES LIMITED,,,Small Cap
KRANTI INDUSTRIES LIMITED,,,Small Cap
Aashrit Capital Limited,,,Small Cap
"W.H. BRADY & CO. LTD.,",,,Small Cap
GAYATRI SUGARS LTD.,,,Small Cap
PATDIAM JEWELLERY LIMITED,,,Small Cap
SUNITA TOOLS LIMITED,,,Small Cap
INDIA FINSEC LIMITED,,,Small Cap
GLOBAL OFFSHORE SERVICES LTD,,,Small Cap
ADITYA CONSUMER MARKETING LIMITED,,,Small Cap
ADD-SHOP E-RETAIL LIMITED,,,Small Cap
TRANSCORP INTERNATIONAL LTD.,,,Small Cap
KALYAN CAPITALS LIMITED,,,Small Cap
KEMP & COMPANY LIMITED,,,Small Cap
TANVI FOODS (INDIA) LIMITED,,,Small Cap
PARNAX LAB LIMITED,,,Small Cap
PS IT INFRASTRUCTURE & SERVICES LIMITED,,,Small Cap
LOHIA SECURITIES LIMITED,,,Small Cap
"LAKSHMI AUTOMATIC LOOM WORKS LTD.,",,,Small Cap
GARNET INTERNATIONAL LIMITED,,,Small Cap
EKANSH CONCEPTS LIMITED,,,Small Cap
MCDOWELL HOLDINGS LIMITED,,,Small Cap
EVEREST ORGANICS LTD.,,,Small Cap
TILAK VENTURES LIMITED,,,Small Cap
MERCURY LABORATORIES LIMITED,,,Small Cap
RAJA BAHADUR INTERNATIONAL LTD,,,Small Cap
KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,,,Small Cap
PRERNA INFRABUILD LIMITED,,,Small Cap
"MYSORE PETRO CHEMICALS LTD.,",,,Small Cap
BHEEMA CEMENTS LIMITED,,,Small Cap
AHASOLAR TECHNOLOGIES LIMITED,,,Small Cap
EIKO LIFESCIENCES LIMITED,,,Small Cap
SHRADDHA PRIME PROJECTS LTD,,,Small Cap
SWASTIKA INVESTMART LTD,,,Small Cap
ZEAL AQUA LIMITED,,,Small Cap
HALDER VENTURE LIMITED,,,Small Cap
"BRIGHT BROTHERS LTD.,",,,Small Cap
B & A LTD.,,,Small Cap
VIPPY SPINPRO LTD.,,,Small Cap
SAGARSOFT (INDIA) LIMITED,,,Small Cap
ATLAS JEWELLERY INDIA LIMITED,,,Small Cap
"PEE CEE COSMA SOPE LTD.,",,,Small Cap
TAYO ROLLS LTD.,,,Small Cap
ATHENA GLOBAL TECHNOLOGIES LIMITED,,,Small Cap
ALKOSIGN LIMITED,,,Small Cap
SHALIMAR WIRES INDUSTRIES LTD.,,,Small Cap
CREATIVE CASTINGS LIMITED,,,Small Cap
INDIA STEEL WORKS LTD,,,Small Cap
INDITRADE CAPITAL LIMITED,,,Small Cap
"KESAR ENTERPRISES LTD.,",,,Small Cap
MARSONS LIMITED,,,Small Cap
BLS INFOTECH LIMITED,,,Small Cap
TIRUPATI TYRES LTD.,,,Small Cap
LUDLOW JUTE & SPECIALITIES LTD,,,Small Cap
JEEVAN SCIENTIFIC TECHNOLOGY LIMITED,,,Small Cap
ANG LIFESCIENCES INDIA LIMITED,,,Small Cap
"LACTOSE (INDIA) LTD.,",,,Small Cap
CHANDRA BHAGAT PHARMA LIMITED,,,Small Cap
KCD INDUSTRIES INDIA LIMITED,,,Small Cap
PHARMAIDS PHARMACEUTICALS LTD.,,,Small Cap
GUJARAT STATE FINANCIAL CORPORATION,,,Small Cap
"BCC FUBA INDIA LTD.,",,,Small Cap
MYSORE PAPER MILLS LIMITED,,,Small Cap
RELICAB CABLE MANUFACTURING LIMITED,,,Small Cap
AVANCE TECHNOLOGIES LTD.,,,Small Cap
JMD VENTURES LIMITED,,,Small Cap
SUPER TANNERY LIMITED,,,Small Cap
BIHAR SPONGE IRON LTD,,,Small Cap
GUJARAT INTRUX LIMITED,,,Small Cap
VIDLI RESTAURANTS LIMITED,,,Small Cap
COSCO (INDIA) LTD.,,,Small Cap
ITL INDUSTRIES LTD.,,,Small Cap
ALSTONE TEXTILES (INDIA) LIMITED,,,Small Cap
BANAS FINANCE LIMITED,,,Small Cap
SHETRON LTD.,,,Small Cap
SHILP GRAVURES LTD.,,,Small Cap
VISTAR AMAR LIMITED,,,Small Cap
SUNSHINE CAPITAL LTD.,,,Small Cap
POLYCHEM LTD,,,Small Cap
GALACTICO CORPORATE SERVICES LIMITED,,,Small Cap
DUTRON  POLYMERS LTD.,,,Small Cap
MUKESH BABU FINANCIAL SERVICES LTD.,,,Small Cap
ABHINAV CAPITAL SERVICES LIMITED,,,Small Cap
ANJANI FOODS LIMITED,,,Small Cap
EDVENSWA ENTERPRISES LIMITED,,,Small Cap
ADVIK CAPITAL LIMITED,,,Small Cap
GANESHA ECOVERSE LIMITED,,,Small Cap
CALS REFINERIES LTD,,,Small Cap
RAJESHWARI CANS LIMITED,,,Small Cap
GANGA PAPERS INDIA LTD,,,Small Cap
"JYOTI LTD.,",,,Small Cap
MEDICO INTERCONTINENTAL LIMITED,,,Small Cap
"JOLLY PLASTIC INDUSTRIES LTD.,",,,Small Cap
PRISMX GLOBAL VENTURES LIMITED,,,Small Cap
SABOO SODIUM CHLORO LTD.,,,Small Cap
KRISHNA VENTURES LIMITED,,,Small Cap
