Company name,NSE Symbol,Market Cap,Categorization
BANK OF BARODA,BANKBARODA,104974.27, Large Cap 
BANK OF INDIA,BANKINDIA,40157.28, Mid Cap 
"BANSWARA SYNTEX LTD.,",BANSWRAS,519.12,Small Cap
BARBEQUE-NATION HOSPITALITY LIMITED,BARBEQUE,2646.32,Small Cap
BASF INDIA LTD,BASF,11730.45,Small Cap
BANNARI AMMAN SPINNING MILLS LTD,BASML,308.76,Small Cap
BATA INDIA LIMITED,BATAINDIA,21214.1,Small Cap
"BHARAT BIJLEE LTD.,",BBL,2145.23,Small Cap
BLACK BOX LIMITED,BBOX,3678.79,Small Cap
"BOMBAY BURMAH TRADING CORPN. LTD.,",BBTC,8612.28,Small Cap
B&B TRIPLEWALL CONTAINERS LIMITED,BBTCL,509.08,Small Cap
BRIGHTCOM GROUP LIMITED,BCG,4070.91,Small Cap
BCL INDUSTRIES LIMITED,BCLIND,1282.1,Small Cap
BRAND CONCEPTS LIMITED,BCONCEPTS,527.42,Small Cap
BHARAT DYNAMICS LIMITED,BDL,21145.96,Small Cap
BEARDSELL LIMITED,BEARDSELL,147.86,Small Cap
MRS. BECTORS FOOD SPECIALITIES LIMITED,BECTORFOOD,6201.75,Small Cap
BEDMUTHA INDUSTRIES LIMITED,BEDMUTHA,356.65,Small Cap
"BHARAT ELECTRONICS LTD.,",BEL,101884.17, Large Cap 
BEML LTD,BEML,9175.04,Small Cap
"BHANSALI ENGINEERING POLYMERS LTD.,",BEPL,2281.65,Small Cap
BERGER PAINTS INDIA LTD,BERGEPAINT,67514.07, Large Cap 
BF INVESTMENT LIMITED,BFINVEST,1802.84,Small Cap
BF UTILITIES LTD.,BFUTILITIE,2172.64,Small Cap
BHARATIYA GLOBAL INFOMEDIA LIMITED,BGLOBAL,3.66,Small Cap
BGR ENERGY SYSTEMS LIMITED,BGRENERGY,529.54,Small Cap
BHAGIRADHA CHEMICALS AND INDUSTRIES,BHAGCHEM,1466.1,Small Cap
BHAGERIA INDUSTRIES LIMITED,BHAGERIA,685.76,Small Cap
BHAGYANAGAR INDIA LIMITED,BHAGYANGR,221.68,Small Cap
BHANDARI HOSIERY EXPORTS LTD.,BHANDARI,92.57,Small Cap
BHARAT FORGE LTD,BHARATFORG,48605.5, Mid Cap 
"BHARAT GEARS LTD.,",BHARATGEAR,186.33,Small Cap
BHARAT RASAYAN LIMITED,BHARATRAS,3790.89,Small Cap
BHARAT WIRE ROPES LIMITED,BHARATWIRE,1719.61,Small Cap
BHARTI AIRTEL  LTD.,BHARTIARTL,537675.97, Large Cap 
"BHARAT HEAVY ELECTRICALS LTD.,",BHEL,44814.44, Mid Cap 
BIGBLOC CONSTRUCTION LIMITED,BIGBLOC,1118.53,Small Cap
BIKAJI FOODS INTERNATIONAL LIMITED,BIKAJI,12333.5,Small Cap
BHARTIYA INTERNATIONAL LTD.,BIL,291.12,Small Cap
BINANI INDUSTRIES LIMITED,BINANIIND,49.32,Small Cap
BIOCON LTD.,BIOCON,30159.85, Mid Cap 
BIOFIL CHEMICALS & PHARMACEUTICALS,BIOFILCHEM,79.66,Small Cap
BIRLA CABLE LIMITED,BIRLACABLE,822.56,Small Cap
BIRLA CORPORATION LTD.,BIRLACORPN,9706.68,Small Cap
ADITYA BIRLA  MONEY LTD,BIRLAMONEY,474.12,Small Cap
BKM INDUSTRIES LIMITED,BKMINDST,6.1,Small Cap
BEML LAND ASSETS LIMITED,BLAL,692.33,Small Cap
BLB LIMITED,BLBLIMITED,112.35,Small Cap
BLISS GVS PHARMA LIMITED,BLISSGVS,1074.49,Small Cap
B L KASHYAP AND SONS LTD,BLKASHYAP,1282.19,Small Cap
BLS INTERNATIONAL SERVICES LTD,BLS,10753.23,Small Cap
BLUE CHIP INDIA LTD,BLUECHIP,8.36,Small Cap
BLUE COAST HOTELS LTD,BLUECOAST,8.17,Small Cap
BLUE DART EXPRESS LTD.,BLUEDART,16186.33,Small Cap
BLUE JET HEALTHCARE LIMITED,BLUEJET,6430.47,Small Cap
BLUE STAR LTD,BLUESTARCO,17062.23,Small Cap
BODAL CHEMICALS LTD,BODALCHEM,971.83,Small Cap
BOHRA INDUSTRIES LTD.,BOHRAIND,69.25,Small Cap
"BOMBAY DYEING & MFG. CO. LTD.,",BOMDYEING,2915.37,Small Cap
BOROSIL LIMITED,BOROLTD,3955.91,Small Cap
BOROSIL RENEWABLES LIMITED,BORORENEW,5784.68,Small Cap
BOSCH LTD,BOSCHLTD,58212.14, Mid Cap 
"BHARAT PETROLEUM CORPN. LTD.,",BPCL,82523.36, Large Cap 
"BPL LTD.,",BPL,375.44,Small Cap
BRIGADE ENTERPRISES LIMITED,BRIGADE,15131.73,Small Cap
"BRITANNIA INDUSTRIES LTD.,",BRITANNIA,113992.36, Large Cap 
BHARAT ROAD NETWORK LIMITED,BRNL,327.42,Small Cap
BROOKS LABORATORIES LIMITED,BROOKS,276.62,Small Cap
BSE LTD.,BSE,20017.63,Small Cap
BOMBAY SUPER HYBRID SEEDS LTD.,BSHSL,2661.12,Small Cap
"BSL LTD.,",BSL,185.21,Small Cap
BIRLASOFT LIMITED,BSOFT,14471.14,Small Cap
BODHI TREE MULTIMEDIA LIMITED,BTML,188.24,Small Cap
BURNPUR CEMENT LIMITED,BURNPUR,47.89,Small Cap
BUTTERFLY GANDHIMATHI APPLIANCES LIMITED,BUTTERFLY,2064.4,Small Cap
BARAK VALLEY CEMENTS LIMITED,BVCL,90.2,Small Cap
THE BYKE HOSPITALITY    LTD,BYKE,183.2,Small Cap
CALIFORNIA SOFTWARE CO. LTD.,CALSOFT,22.85,Small Cap
CAMLIN FINE SCIENCES LTD,CAMLINFINE,2528.19,Small Cap
CAMPUS ACTIVEWEAR LIMITED,CAMPUS,8835.51,Small Cap
COMPUTER AGE MANAGEMENT SERVICES LIMITED,CAMS,12246.76,Small Cap
CANARA BANK,CANBK,67069.2, Large Cap 
"CAN FIN HOMES LTD.,",CANFINHOME,10208.38,Small Cap
CANTABIL RETAIL INDIA LIMITED,CANTABIL,1769.3,Small Cap
CAPACIT'E INFRAPROJECTS LIMITED,CAPACITE,1629.37,Small Cap
CAPLIN POINT LABORATORIES LTD.,CAPLIPOINT,8111.05,Small Cap
CAPITAL TRUST LTD.,CAPTRUST,159.34,Small Cap
"CARBORUNDUM UNIVERSAL LTD.,",CARBORUNIV,21934.68,Small Cap
CAREER POINT LIMITED,CAREERP,371.54,Small Cap
CARE RATINGS LIMITED,CARERATING,2510.49,Small Cap
CARTRADE TECH LIMITED,CARTRADE,2931.54,Small Cap
CARYSIL LIMITED,CARYSIL,1935.29,Small Cap
CASTROL INDIA LTD,CASTROLIND,14047.89,Small Cap
COUNTRY CLUB HOSPITALITY & HOLIDAYS LTD,CCHHL,154.37,Small Cap
