,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
2304,TCI,EQ,860.0,865.55,850.0,858.15,859.3,34199,292.88,4018,11593,33.90,01-Dec-2023
2305,TCIEXP,EQ,1423.4,1440.0,1393.0,1404.0,1405.75,24482,347.08,3341,11949,48.81,01-Dec-2023
2306,TCLCONS,BE,24.8,24.9,24.8,24.9,25.3,5339,1.33,40,-,-,01-Dec-2023
2307,TCNSBRANDS,EQ,387.0,393.5,384.0,385.7,385.25,166831,649.46,5160,70311,42.15,01-Dec-2023
2308,TCPLPACK,EQ,2327.05,2340.6,2280.0,2281.2,2315.65,23561,538.69,1514,20719,87.94,01-Dec-2023
2309,TCS,EQ,3500.0,3516.95,3490.05,3511.65,3487.6,1172141,41066.37,90309,710553,60.62,01-Dec-2023
2310,TDPOWERSYS,EQ,279.0,282.95,275.25,276.5,277.05,149589,415.62,6942,88722,59.31,01-Dec-2023
2311,TEAMLEASE,EQ,2525.1,2648.95,2525.1,2575.75,2524.0,89650,2319.92,14583,59284,66.13,01-Dec-2023
2312,TECH,EQ,32.96,33.73,32.96,33.67,33.63,5306,1.78,94,4445,83.77,01-Dec-2023
2313,TECHIN,BE,15.0,15.75,14.75,14.8,15.5,11199,1.67,46,-,-,01-Dec-2023
2314,TECHM,EQ,1226.8,1226.8,1211.55,1220.55,1220.95,1017856,12403.93,51674,422045,41.46,01-Dec-2023
2315,TECHNOE,EQ,710.2,719.9,690.0,705.65,710.9,75730,537.88,3127,50516,66.71,01-Dec-2023
2316,TECILCHEM,BE,19.35,19.35,19.35,19.35,19.35,25,0.0,2,-,-,01-Dec-2023
2317,TEGA,EQ,992.05,998.4,976.0,984.4,984.05,82838,820.47,6368,63724,76.93,01-Dec-2023
2318,TEJASNET,EQ,800.0,826.5,800.0,811.9,797.25,539520,4405.03,21404,167940,31.13,01-Dec-2023
2319,TEMBO,EQ,238.95,240.7,234.45,236.55,236.6,41239,98.52,1054,8397,20.36,01-Dec-2023
2320,TERASOFT,EQ,45.95,46.3,45.2,45.3,45.9,30504,13.91,383,22045,72.27,01-Dec-2023
2321,TEXINFRA,EQ,103.25,105.55,99.05,100.25,102.75,807973,825.2,5807,482725,59.75,01-Dec-2023
2322,TEXMOPIPES,EQ,72.95,75.15,71.3,72.5,71.6,327309,242.41,2084,181586,55.48,01-Dec-2023
2323,TEXRAIL,EQ,144.5,145.1,141.6,141.85,142.65,2959861,4228.62,25424,2173411,73.43,01-Dec-2023
2324,TFCILTD,EQ,110.25,112.7,108.9,109.45,110.1,1097866,1216.35,7540,498737,45.43,01-Dec-2023
2325,TFL,EQ,12.05,12.5,11.5,11.8,11.95,227817,27.57,847,111883,49.11,01-Dec-2023
2326,TGBHOTELS,BE,16.4,16.8,15.55,16.8,16.0,295713,48.95,436,-,-,01-Dec-2023
2327,THANGAMAYL,EQ,1375.55,1376.4,1355.0,1372.1,1377.55,28311,387.31,3927,18900,66.76,01-Dec-2023
2328,THEINVEST,EQ,111.0,112.85,107.05,107.55,112.65,31392,34.43,834,16629,52.97,01-Dec-2023
2329,THEJO,EQ,1924.0,2250.0,1900.6,2000.0,1909.0,57041,1191.69,7315,14320,25.10,01-Dec-2023
2330,THEMISMED,EQ,172.0,176.4,169.35,171.15,170.65,162143,280.39,7249,77785,47.97,01-Dec-2023
2331,THERMAX,EQ,2559.0,2634.0,2559.0,2609.65,2535.0,246563,6425.44,25832,144430,58.58,01-Dec-2023
2332,THOMASCOOK,EQ,143.0,149.3,143.0,147.2,150.5,30523509,44155.41,61206,14618056,47.89,01-Dec-2023
2333,THOMASCOTT,BE,173.2,173.2,173.15,173.2,169.85,9700,16.8,20,-,-,01-Dec-2023
2334,THYROCARE,EQ,561.0,568.0,555.95,566.35,559.95,52532,296.81,6773,34611,65.89,01-Dec-2023
2335,TI,EQ,274.0,279.0,269.25,271.0,265.65,1789590,4881.87,18225,959706,53.63,01-Dec-2023
2336,TIDEWATER,EQ,1349.8,1414.4,1339.1,1360.9,1329.1,415799,5735.12,25871,165825,39.88,01-Dec-2023
2337,TIIL,EQ,2260.55,2278.6,2228.1,2260.75,2228.75,8503,192.02,1636,5371,63.17,01-Dec-2023
2338,TIINDIA,EQ,3367.5,3388.55,3281.85,3291.7,3366.3,213940,7057.7,26026,117939,55.13,01-Dec-2023
2339,TIJARIA,EQ,6.65,6.65,6.05,6.3,6.35,76843,4.79,229,50555,65.79,01-Dec-2023
2340,TIL,BZ,396.0,396.2,396.0,396.2,388.45,2747,10.88,49,-,-,01-Dec-2023
2341,TIMESGTY,EQ,74.55,75.0,73.05,73.6,74.1,25059,18.57,556,13039,52.03,01-Dec-2023
2342,TIMETECHNO,EQ,177.0,180.35,174.15,178.7,176.5,1712318,3036.12,18581,734212,42.88,01-Dec-2023
2343,TIMKEN,EQ,2921.0,3008.85,2921.0,2952.95,2942.15,56737,1690.15,9560,27665,48.76,01-Dec-2023
2344,TINPLATE,EQ,413.35,429.65,413.15,420.95,413.35,594588,2505.68,11993,130448,21.94,01-Dec-2023
2345,TIPSFILMS,BE,615.0,632.15,600.0,632.15,602.05,6042,38.02,170,-,-,01-Dec-2023
2346,TIPSINDLTD,EQ,362.35,367.75,354.0,357.65,361.4,126361,454.6,10038,60242,47.67,01-Dec-2023
2347,TIRUMALCHM,EQ,201.85,207.2,201.0,205.2,199.9,633221,1296.29,13014,309325,48.85,01-Dec-2023
2348,TIRUPATIFL,BE,11.6,11.75,11.6,11.75,11.55,186211,21.85,380,-,-,01-Dec-2023
2349,TITAGARH,EQ,979.0,1004.2,977.0,979.75,972.05,1058448,10461.79,33269,342191,32.33,01-Dec-2023
2350,TITAN,EQ,3499.0,3500.0,3470.0,3489.5,3490.6,655263,22852.17,82956,404060,61.66,01-Dec-2023
2351,TMB,EQ,527.0,532.05,511.05,515.6,522.95,205574,1068.37,10445,129515,63.00,01-Dec-2023
2352,TNIDETF,EQ,70.89,70.89,70.36,70.54,70.56,24259,17.11,433,20616,84.98,01-Dec-2023
2353,TNPETRO,EQ,89.65,90.6,88.8,89.15,89.65,268727,239.79,2349,186819,69.52,01-Dec-2023
2354,TNPL,EQ,268.3,278.85,268.3,274.05,267.15,354101,973.51,9889,179052,50.57,01-Dec-2023
2355,TNTELE,EQ,9.25,9.95,9.1,9.6,9.5,115360,11.24,337,96462,83.62,01-Dec-2023
2356,TOKYOPLAST,EQ,125.55,125.7,122.55,124.5,122.75,36899,45.86,968,22355,60.58,01-Dec-2023
2357,TORNTPHARM,EQ,2135.0,2157.45,2118.5,2151.25,2126.55,308776,6622.26,26797,187336,60.67,01-Dec-2023
2358,TORNTPOWER,EQ,965.0,979.45,945.0,952.45,964.0,635463,6120.53,35086,154646,24.34,01-Dec-2023
2359,TOTAL,EQ,124.65,126.0,123.7,124.35,125.65,15957,19.93,1548,6403,40.13,01-Dec-2023
2360,TOUCHWOOD,BE,180.0,180.0,176.25,177.45,183.95,680,1.2,20,-,-,01-Dec-2023
2361,TPHQ,BE,11.15,11.2,10.9,10.95,10.7,1089480,120.49,1456,-,-,01-Dec-2023
2362,TPLPLASTEH,EQ,57.1,58.9,54.7,55.25,57.1,299913,168.51,2269,167332,55.79,01-Dec-2023
2363,TRACXN,EQ,93.45,94.45,90.0,90.45,92.65,1304949,1203.81,6825,589924,45.21,01-Dec-2023
2364,TRANSTEEL,SM,99.9,105.0,97.3,99.4,95.8,432000,438.0,202,306000,70.83,01-Dec-2023
2365,TREEHOUSE,EQ,19.15,19.8,19.15,19.35,19.4,23225,4.53,457,8401,36.17,01-Dec-2023
2366,TREJHARA,BE,201.8,201.8,201.8,201.8,197.85,18613,37.56,119,-,-,01-Dec-2023
2367,TREL,EQ,46.6,47.5,45.65,46.0,46.5,909094,421.05,4248,527997,58.08,01-Dec-2023
2368,TRENT,EQ,2787.0,2837.4,2752.4,2807.7,2787.0,1049846,29436.15,63482,568011,54.10,01-Dec-2023
2369,TRF,EQ,260.0,263.4,257.1,258.7,260.0,75552,196.73,2882,36100,47.78,01-Dec-2023
2370,TRIDENT,EQ,36.5,36.85,36.25,36.3,36.3,6754465,2464.02,24596,2775142,41.09,01-Dec-2023
2371,TRIDHYA,SM,37.95,37.95,37.3,37.5,36.25,30000,11.28,9,24000,80.00,01-Dec-2023
2372,TRIGYN,EQ,127.0,134.8,126.3,131.7,126.0,648044,852.83,11083,325495,50.23,01-Dec-2023
2373,TRIL,EQ,185.8,189.9,183.9,186.5,184.25,409985,767.7,12644,217003,52.93,01-Dec-2023
